urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Kompanzasyon Ürün Grubu,RGP Serisi,RGP Serisi Güç Kontrol Rölelerinde Manuel Kademe Nasıl Çektirilir?,RGP Serisi Güç Kontrol Rölelerinde Manuel Kademe Nasıl Çektirilir?,"RGP Serisi reaktif güç kontrol rölelerinde ""AŞAĞI"" yön tuşuna basılarak (kW) ""Ayarlar"" menüsüne gelinir.
OK (√) tuşuna basılarak ayarlar menüsünün içerisine girilir.
""AŞAĞI veya YUKARI"" yön tuşuna basılarak ""Kompanzasyon"" seçeneğine gidilir.",reaktif;kademe;rg3-serisi;rgp;kondansatör,https://destek.entes.com.tr/spaces/SP/pages/983218/RGP+Serisi+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Manuel+Kademe+Nas%C4%B1l+%C3%87ektirilir
Enerji Verimliliği Ürün Grubu,EPM-4x,EPM-4X Serisi Ampermetrelerde Hatalı Akım Değerleri Görülüyorsa Ne Yapmak Gerekir?,EPM-4X Serisi Ampermetrelerde Hatalı Akım Değerleri Görülüyorsa Ne Yapmak Gerekir?,"Akım trafosu bağlantıları kontrol edilmelidir. Akım trafosu primer değeri menü içerisine girilerek kontrol edilmelidir. 3 sn boyunca ""SET"" tuşuna basılı tutunuz. Ekranda ""ctr"" görülene kadar ""YUKARI veya AŞAĞI"" tuşuna basınız. ""SET"" tuşuna basınız Ekranda istediğiniz değer görülene kadar ""YUKARI veya AŞAĞI"" tuşlarına basınız. ""SET"" tuşuna basarak ayardan çıkınız. Akım trafosu arızalı olabilir. Cihaz arızalı olabilir. Onarım servisine gönderilmesi gerekebilir.",ampermetre;trafosu;akım;epm-4;epm;epm-07,https://destek.entes.com.tr/spaces/SP/pages/983546/EPM-4X+Serisi+Ampermetrelerde+Hatal%C4%B1+Ak%C4%B1m+De%C4%9Ferleri+G%C3%B6r%C3%BCl%C3%BCyorsa+Ne+Yapmak+Gerekir
Enerji Verimliliği Ürün Grubu,EPM-4A - EPM-4C - EPM-4D - EPM-4P - EPM-14 - EPM-34-96,EPM-4X Serisi Ampermetrelerde Akım Trafosu Ayarları Nasıl Yapılır?,EPM-4X Serisi Ampermetrelerde Akım Trafosu Ayarları Nasıl Yapılır?,"EPM-4A/4C/4D/4P serisi ampermetrelerde, kullanmış olduğunuz akım trafosunun Primer sargısı değerini, akım trafosu ayarları menüsünden cihazlara girmeniz gereklidir. Örneğin 100/5 akım trafosu kullanıyor iseniz primer değeri olarak ""100""  girmeniz gerekmektedir.
EPM-14 ve EPM-34-96 ampermetre modellerimizde ise akım trafosu çeviri oranı (Primer/Seconder) olarak giriş yapılması gereklidir. Örneğin primer değeri 100 ve sekonder değeri 5 olan bir akım trafosu kullanıyor iseniz 100/5 yani ""20"" olarak girmeniz gerekmektedir.",epm-14;epm-34-96;epm-4a;epm-4p;epm-4c;epm-4d,https://destek.entes.com.tr/spaces/SP/pages/983284/EPM-4X+Serisi+Ampermetrelerde+Ak%C4%B1m+Trafosu+Ayarlar%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RGP,RGP Serisi Reaktif Güç Kontrol Rölelerinde AGR Modu Ne Anlama Gelir?,RGP Serisi Reaktif Güç Kontrol Rölelerinde AGR Modu Ne Anlama Gelir?,"AGR modu, Agresif çalışma modu anlamına gelmekle birlikte, mevcut kademelerle hedef cosΦ’ ye en yakın çözümü sunmak için reaktif güç kontrol rölesinin çalışma fonksiyonlarını optimize eder..",rgp,https://destek.entes.com.tr/spaces/SP/pages/983303/RGP+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+AGR+Modu+Ne+Anlama+Gelir
Kompanzasyon Ürün Grubu,RG-T,RG-T Serisi Reaktif Güç Kontrol Rölelerinde C/K Değeri Nasıl Konfigüre Edilir?,RG-T Serisi Reaktif Güç Kontrol Rölelerinde C/K Değeri Nasıl Konfigüre Edilir?,""" SET "" tuşuna 3sn süreyle basılarak SET menüsüne geçilir.
""Yukarı-Aşağı"" tuşlarına basılarak C/K ayarı seçilir.
""Yukarı/Aşağı"" tuşları kullanılarak 0,02-1 arasında bir değer seçilir.
""SET"" tuşuna basılarak yeni değer kaydedilir ve RG-T normal çalışma konumuna geri dönülür.",c/k;ct;rölesi;kontrol;rg-t;reaktif;güç,https://destek.entes.com.tr/spaces/SP/pages/983312/RG-T+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+C+K+De%C4%9Feri+Nas%C4%B1l+Konfig%C3%BCre+Edilir
Koruma & Kontrol Ürün Grubu,ENT.PST,ENT.PST Serisi Kumanda Trafoları Ne Amaçla Kullanılır?,ENT.PST Serisi Kumanda Trafoları Ne Amaçla Kullanılır?,"ENT.PST Serisi kumanda trafoları, 24V AC çıkış gerilimi ile cihazların güvenli çalışmasını sağlar.
230V veya 400V sabit girişli seçeneklerin yanı sıra alternatif giriş gerilimli (-15V & +15V) seçenekleri de bulunmaktadır.
Kumanda trafoları 50 C ortam sıcaklığında sürekli çalışmaları için tasarlanmıştır.",kumanda;trafo,https://destek.entes.com.tr/spaces/SP/pages/983316/ENT.PST+Serisi+Kumanda+Trafolar%C4%B1+Ne+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Enerji Verimliliği Ürün Grubu,MPR,"Dijital Giriş Nedir, Ne Amaçla Kullanılır?","Dijital Giriş Nedir, Ne Amaçla Kullanılır?","Dijital girişler; enerji analizörleri, güç ve enerji ölçerler gibi özellikle ENTES Enerji Verimliliği ürün grubundaki ürünlerde bulunan bir özelliktir.
Dijital girişlerin 2 fonksiyonu vardır;
Uzaktan kontrol aktif olduğu zaman register'daki bilgilere göre dijital girişe bağlı cihazların durumu görülür.
Örnek ;Batarya, termostat, akım kesici ve motorun durumu.
Enerji count menüsünde dijital girişler aktif edildiği zaman enerji sayaçlarını kontrol eder.
Örnek; Şebeke ve jeneratör kullanımlarında ayrı ayrı enerji ölçümü yapmak için kullanılır.",giriş;dijital,https://destek.entes.com.tr/spaces/SP/pages/983510/Dijital+Giri%C5%9F+Nedir+Ne+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Enerji Verimliliği Ürün Grubu,EPM-4x,EPM-4C Serisi Ampermetrelerde Ani Açma Fonksiyonunu Nasıl Ayarlanır?,EPM-4C Ampermetre Serisinde Ani Açma Fonksiyonunu Nasıl Ayarlanır?,"Ani Açma Fonksiyonun Ayarlanması (EPM-4C ve 4P için);
3 sn boyunca ""SET"" tuşuna basınız. Ekranda ""trP"" görülene kadar yukarı/aşağı tuşlarına basınız. ""SET"" tuşuna basınız. Ekranda istediğiniz değer görülene kadar yukarı/aşağı tuşlarına basınız. ""SET"" tuşuna basarak ayardan çıkınız.",açma;akım;fonksiyon;ani;epm-4p;epm-4c,https://destek.entes.com.tr/spaces/SP/pages/983517/EPM-4C+Serisi+Ampermetrelerde+Ani+A%C3%A7ma+Fonksiyonunu+Nas%C4%B1l+Ayarlan%C4%B1r
Kompanzasyon Ürün Grubu,RG-T,RG-T Serisi Reaktif GÜç Kontrol Rölelerinde C/K değerinin Hesaplanamama & Uzun Sürmesi Durumunda Nasıl Yol İzlenmelidir?,RG-T Serisi Reaktif Güç Kontrol Rölelerinde C/K değerinin Hesaplanamama & Uzun Sürmesi Durumunda Nasıl Yol İzlenmelidir?,"Yük değişiminin hızlı olması, C/K değerinin hesaplanmasının uzun sürmesine, hiç hesaplanmamasına veya bazı durumlarda yanlış hesaplanmasına neden olabilir.
Böyle durumlarda;
1. Yük akımı bağlanmadan kompanzasyon panosuna gerilim verilir. Bu durumda yalnızca kondansatörler devrededir. (Bu durumu yük akımını geçici olarak kapatmak suretiyle yapabilirsiniz).
2. Yukarı/Aşağı tuşlarına aynı anda basıp bırakarak Otomatik C/K hesaplama işlemini başlatınız. Bu durumda ilk kademe gücüne bağlı olarak C/K değeri çabuk ve doğru şekilde hesaplanacaktır. Hesaplanmış olan C/K değeri otomatik olarak belleğe kaydedilir. Daha sonra yük akımını devreye alabilirsiniz. Hesaplanmış olan C/K değeri yeni bir hesaplama yapılana kadar veya manuel olarak değiştirilene kadar bellekte saklanır.",rölesi;rg-t;c/k;reaktif;güç;kontrol;röles,https://destek.entes.com.tr/spaces/SP/pages/983376/RG-T+Serisi+Reaktif+G%C3%9C%C3%A7+Kontrol+R%C3%B6lelerinde+C+K+de%C4%9Ferinin+Hesaplanamama+Uzun+S%C3%BCrmesi+Durumunda+Nas%C4%B1l+Yol+%C4%B0zlenmelidir
Kompanzasyon Ürün Grubu,RGA,RGA Serisi Reaktif Güç Kontrol Rölelerinde Modbus Ayarları Nasıl Yapılır?,RGA Serisi Reaktif Güç Kontrol Rölelerinde Modbus Ayarları Nasıl Yapılır?,"“Haberleşme Ayarları” menüsünün altında “Modbus Ayarları” menüsü yer almaktadır.
Cihaza ait Modbus RTU ayarları bu menü üzerinden yapılmaktadır. Cihaza ait modbus adresi, bit hızı, eşlik biti ayarları bu menü üzerinden yapılır. Modbus: Slave ya da master olarak ayarlanabilir.
Modbus Adresi: Bu parametre 1 ile 247 arasında bir değere ayarlanabilir. Ayarlanan değerin cihazın bulunduğu hatta tek olması gerekmektedir. Aksi durumda cihazın bağlı olduğu hattın haberleşmesi bozulacaktır.
Bit Hızı: Bu parametre 2400, 4800, 9600, 19200, 38400, 57600, 115200 veya 256000 bps değerlerinden biri olarak ayarlanabilir. Bu parametrenin değeri ile cihaz ile haberleşmek için kullandığınız yazılımdaki değerin aynı olması gerekmektedir. Aksi takdirde cihaz ile haberleşemezsiniz.
Eşlik Biti: Eşlik biti, yok, tek ve çift değerlerinden biri olarak ayarlanabilir. Bu parametrenin değeri ile cihaz ile haberleşmek için kullandığınız yazılımdaki değerin aynı olması gerekmektedir. Aksi takdirde cihaz ile haberleşemezsiniz.",rgsr-20s;serisi;rga;rgsr-15s,https://destek.entes.com.tr/spaces/SP/pages/983164/RGA+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Modbus+Ayarlar%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic","Enerji Doktoru, Enerthings ve Enermedic Yazılımlarında Mobil Uygulamada Alarm ve Uyarı Bildirimleri Alınabiliyor mu?","Enerji Doktoru, Enerthings ve Enermedic Yazılımlarında Mobil Uygulamada Alarm ve Uyarı Bildirimleri Alınabiliyor mu?
Enerji Doktoru, Enerthings ve Enermedic yazılımlarında kullanılan mobil uygulamada sistemdeki alarm ve uyarıların bildirimleri alınabiliyor mu?",Mevcut versiyonlarda sadece anlık izleme ve lisans takibi yapılabilmektedir.,app;enerthings;mobil;enermedic;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983244/Enerji+Doktoru+Enerthings+ve+Enermedic+Yaz%C4%B1l%C4%B1mlar%C4%B1nda+Mobil+Uygulamada+Alarm+ve+Uyar%C4%B1+Bildirimleri+Al%C4%B1nabiliyor+mu
Kompanzasyon Ürün Grubu,SPD,"SPD Serisi Darbe Gerilimi Koruma Cihazları Nedir, Ne Amaçla Kullanılır?","SPD Serisi Darbe Gerilimi Koruma Cihazları Nedir, Ne Amaçla Kullanılır?","SPD Serisi darbe gerilimi koruma cihazları, yüksek enerjili darbe gerilimlerinin hassas cihazları tehdit ettiği ortamlarda, bu darbe gerilimlerinin enerjisini kendi üzerine alarak cihazların hasar görmesini önler. Böylece hizmet sürekliliği garanti altına alınırken, sistemdeki önemli cihazların onarım maliyetleri düşer.
SPD-D tipi cihaz, faz-nötr, nötr-toprak ve faz-faz arası gelebilecek darbe gerilimlerine karşı koruma sağlarken, SPD-S tipi ise faz-nötr ve nötr-toprak arasına karşı korur.",darbe;spd,https://destek.entes.com.tr/spaces/SP/pages/983262/SPD+Serisi+Darbe+Gerilimi+Koruma+Cihazlar%C4%B1+Nedir+Ne+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Enerji Verimliliği Ürün Grubu,DCA,DCA Serisi DC Ampermetrelerde Direkt Bağlantı Yapılabilir mi?,DCA Serisi DC Ampermetrelerde Direkt Bağlantı Yapılabilir mi?,"DCA Serisi DC Ampermetrelerde direkt ölçüm için bağlantı yapılamamaktadır.
Ölçülmek istenen DC akım aralığı belirlenir, amper değerine göre şönt direnci üzerinden ölçüm alınır.
Uygulama öncesinde şönt direncinin de DC Ampermetre cihazına bağlantısının yapılması gerekmektedir.",dca-10c;dca-11c;dca-11;dca-10;dca-11s;dca-10s;dca-11cs;dca10cs,https://destek.entes.com.tr/spaces/SP/pages/983513/DCA+Serisi+DC+Ampermetrelerde+Direkt+Ba%C4%9Flant%C4%B1+Yap%C4%B1labilir+mi
Enerji Verimliliği Ürün Grubu,EMK-01,EMK-01 Kalite Analizöründe Hangi Elektriksel Parametreler Ölçülür? Doğruluk Değerleri Nedir?,EMK-01 Kalite Analizöründe Hangi Elektriksel Parametreler Ölçülür? Doğruluk Değerleri Nedir?,"EMK-01 Kalite Analizöründe bir elektrik şebekesinde bulunan tüm elektriksel parametreler yüksek doğruluk hassasiyetiyle izlenip, kayıt altına alınmaktadır.
Ölçülen elektriksel parametrelerin detaylarını aşağıdaki tabloda görebilirsiniz;
Parametre L1 L2 L3 L4 L1-2 L2-3 L3-1 ΣL1-3 ΣL1-4 Max Min ORT Ölçme Aralığı Gösterme aralığı Doğruluk Faz – nötr gerilimi ● ● ● ● ● ● ● 2 ... 600 V 0 ... 1 MV %± 0,1 Faz – faz gerilimi ● ● ● ● ● ● 4 ... 1000 V 0 ... 1 MV %± 0,1 Frekans ● ● ● ● 40 ... 70 Hz 40 ... 70 Hz ± 10 mHz Akım ● ● ● ● ● ● ● ● ● 0,001 ... 6 A 0 ... 1 MA %± 0,1 cosφ ● ● ● ● ● ● ● 0,01 L 0,01 C 0,01 L 0,01 C %± 1 Güç faktörü ● ● ● ● ● ● ● 0,01 L 0,01 C 0,01 L 0,01 C %± 1 THD-VLN ● ● ● ● ● ● ● 0 ... %99,9 0 ... %99,9 %± 1 THD-VLL ● ● ● ● ● ● 0 ... %99,9 0 ... %99,9 %± 1 THD-I ● ● ● ● ● ● ● 0 ... %99,9 0 ... %99,9 %± 1 Gerilim harmoniği ● ● ● ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Araharmonik grubu V ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Harmonik grubu V ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Aktif güç harmoniği ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Görünür güç harmoniği ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Akım harmoniği ● ● ● ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Araharmonik grubu I ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Harmonik grubu I ● ● ● ● 0 ... %99,9 0 ... %99,9 Class 1 Kısa süreli fliker ● ● ● ● ● ● ● 0. 20.0 Pst 0. 20.0 Pst Class A Uzun süreli fliker ● ● ● ● ● ● ● 0. 20.0 Plt 0. 20.0 Plt Class A Alçak gerilim ● ● ● ● ● ● ● ● ● ● 0 ... %100 0 ... %100 %± 0,2 Yüksek gerilim ● ● ● ● ● ● ● ● ● ● 0 ... %100 0 ... %100 %± 0,2 Dengesizlik U ● ● ● 0 ... %100 0 ... %100 %± 0,15 Nötr nokta yer değişimi ● ● ● 10 ... 600 V 0 ... 1 MV %± 0,2 K faktörü ● ● ● ● Dengesizlik I ● ● ● %± 0,5 Transient ● ● ● ● 25 μs Olaylar ● ● ● ● 10 ms Dalgalanma kontrol sinyali ● ● ● ● ● ● ● ● ● ● Aktif güç ● ● ● ● ● ● ● ● ● 0... 10,8 kW 0 ... 999 GW %± 0,4 Reaktif güç ● ● ● ● ● ● ● ● ● 0... 10,8 kvar 0 ... 999 Gvar %± 0,4 Görünür güç ● ● ● ● ● ● ● ● ● 0... 10,8 kVA 0 ... 999 GVA %± 0,2 Bozunum gücü ● ● ● ● ● ● ● ● ● %± 0,5 Aktif enerji +/- ● ● ● ● 0 ... 999 GWh 0 ... 999 GWh Class 0.2 Indüktif reaktif. enerji +/- ● ● ● ● 0 ... 999 Gvarh 0 ... 999 Gvarh Class 0.2* Kapasitif reaktif enerji+/- ● ● ● ● 0 ... 999 Gvarh 0 ... 999 Gvarh Class 0.2* Sıcaklık ● ● ● ± 1 °C",emk;emk-01;kalite;analizör,https://destek.entes.com.tr/spaces/SP/pages/983326/EMK-01+Kalite+Analiz%C3%B6r%C3%BCnde+Hangi+Elektriksel+Parametreler+%C3%96l%C3%A7%C3%BCl%C3%BCr+Do%C4%9Fruluk+De%C4%9Ferleri+Nedir
Enerji Verimliliği Ürün Grubu,EMK-01,EMK-01 Kalite Analizörü Nedir? Hangi Amaçla Kullanılır?,EMK-01 Kalite Analizörü Nedir? Hangi Amaçla Kullanılır?,"EMK-01, Alçak Gerilim ve Orta Gerilim sistemlerde EN61000-4-30 Class A standardına göre elektriksel parametrelerin ölçülmesini ve enerji kalitesinin EN 50160 standardına göre izlenmesini sağlayan kalite analizörüdür.
Ölçüm teknolojisi, “IEC 61000-4-30: EMC uyumluluk standartları (61000 serisi) - Kısım 4-30: Test ve ölçme teknikleri - güç kalite ölçüm yöntemleri”, ölçüm sınıfı “Class A” uyarınca gerçekleştirilmiştir. EMK-01 Class A kalite analizörü, 2, 3 ve 4 iletken ağları ile TN ve TT şebekelerindeki elektriksel parametrelerin ölçülmesi ve izlenmesi için tasarlanmıştır.
Daha detaylı bilgi için lütfen aşağıdaki sayfayı ziyaret ediniz;
https://www.entes.com.tr/emk-01/",emk;kalite;emk-01;analizör,https://destek.entes.com.tr/spaces/SP/pages/983336/EMK-01+Kalite+Analiz%C3%B6r%C3%BC+Nedir+Hangi+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Enerji Verimliliği Ürün Grubu,MPR-x Serisi,ENTES Enerji Analizörlerinde Nötr Akımı Matematiksel Olarak Nasıl Hesaplanır?,ENTES Enerji Analizörlerinde Nötr Akımı Matematiksel Olarak Nasıl Hesaplanır?,"Nötr akımı vektörel toplamlar ile bulunur, fakat cihaz bunu aynı anda okunan örnekler ile yapmaktadır.
I~Nötr~ = I~L1~ + I~L2~ + I~L3~ (Vektörel toplamlar)
Toplanan bu nötr ölçümlerinin RMS değeri hesaplanmaktadır.",mpr;nötr;akım,https://destek.entes.com.tr/spaces/SP/pages/983181/ENTES+Enerji+Analiz%C3%B6rlerinde+N%C3%B6tr+Ak%C4%B1m%C4%B1+Matematiksel+Olarak+Nas%C4%B1l+Hesaplan%C4%B1r
Enerji Verimliliği Ürün Grubu,MPR-47-SE,"MPR-47SE Ethernetli Enerji Analizöründe ""Modbus ID Bilgisi"" Nedir?",MPR-47SE Ethernetli Enerji Analizöründe Ethernet Portu Üzerinden Yapılan Haberleştirmelerde Modbus ID Bilgisi Nedir?,"MPR-47SE Build-in Ethernet özelliğine sahip, gelişmiş bir Enerji Analizörüdür.
Cihaz üzerinde hem RS-485 bağlantısının yapıldığı klemens girişi hem de ethernet girişi ayrı ayrı bulunmaktadır.
Kullanıcı cihazı haberleştirmek için iki özelliği de kullanabilir.
Cihaz içinde ki RS-485 menüsünde Modbus ID, fabrika çıkışlı 1 olarak ayarlanmıştır. Eğer kullanıcı Modbus haberleştirmesini RS-485 bağlantısının olduğu klemens ile yaparsa, bu menüde yazan Modbus ID kullanılmalıdır.
Fakat, cihaz eğer Ethernet üzerinden haberleştirilecekse cihazın Modbus ID bilgisi, cihazın RS-485 menüsünde bulunan Modbus ID ayarından bağımsız olarak 247 olarak tanımlanır.
Yapılacak sorgularda Modbus ID adresinin 247 olarak girilmesi gerekmektedir.",modbus;mpr-47se;tcp;ethernet,https://destek.entes.com.tr/spaces/SP/pages/983220/MPR-47SE+Ethernetli+Enerji+Analiz%C3%B6r%C3%BCnde+Modbus+ID+Bilgisi+Nedir
Kompanzasyon Ürün Grubu,"RGA , RGSR",RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Deşarj Süreleri Ayrı Ayrı Nasıl Ayarlanır?,RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde Deşarj Süreleri Ayrı Ayrı Nasıl Ayarlanır?,"Deşarj süresi, kademenin bırakılmasından sonra en erken kaç saniye sonra tekrar devreye alınabileceğini belirtir.
RGA/RGSR Serisi Reaktif Güç Kontrol Rölelerinde kademelerin deşarj süreleri, "" Kademe Ayarları ""  altındaki "" Deşarj süresi "" menüsünden ayrı ayrı ayarlanabilmektedir.
Deşarj süresi kondansatör üreticisinin belirlediği sürelerde ayarlanmalıdır.
Eğer deşarj bobini veya deşarj bobinli kontaktörler kullanılıyorsa, bu süre üreticinin belirttiği kriterlere uygun olarak kısaltılabilir.
Saniye cinsinden 1 - 1800 arası bir değer girilebilir, fabrika çıkış ayarı ise 14 saniyedir.",rga;rgsr;deşarj,https://destek.entes.com.tr/spaces/SP/pages/983306/RGA+RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+De%C5%9Farj+S%C3%BCreleri+Ayr%C4%B1+Ayr%C4%B1+Nas%C4%B1l+Ayarlan%C4%B1r
Enerji Yönetimi Ürün Grubu,ENTBUS Pro,Entbus Pro'da Elektik Sayacı Nasıl İzlenir?,ENTBUS Pro'da Elektik Sayacı Nasıl İzlenir?,"Elektrik sayacının herhangi ilave bir işlem gerekmeden izlenebilmesi için 2 ön şart gerekmektedir;
1- Sayaçta RS-485 haberleşme özelliğinin bulunması,
2- İzlenmek istenen sayaç modelinin ENTBUS yazılımında tanımlı olması.
Eğer sayaç modeli sistemde tanımlı değil ise, müşterinin onayı doğrultusunda müşterimizin elindeki ürün numune olarak kendisinden alınır ve izlenebilirliği tarafımızdan test edilir.
Test sonucunda izlenebilirlik sağlanır ise müşterimize bu hizmet için teklif sunulur.
Teklif onaylanması durumunda cihaz modelinin ENTBUS yazılımına bütünleştirme çalışması başlatılır.",entbus;entbuspro,https://destek.entes.com.tr/spaces/SP/pages/983317/Entbus+Pro+da+Elektik+Sayac%C4%B1+Nas%C4%B1l+%C4%B0zlenir
Kompanzasyon Ürün Grubu,RG3 Serisi,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Harmonik Ölçümleri Nasıl Görüntülenir?,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Harmonik Ölçümleri Nasıl Görüntülenir?,"RG3 Serisi Reaktif Güç Kontrol Rölelerinde 1'den 19. harmoniğe kadar olan harmoniklerin ölçümü yapılabilmekte, gerilim ve akım harmonikleri ayrı ayrı gösterilebilmektedir.
Eğer bakılmak istenen gerilim harmoniği ise, Voltaj değerleri üzerindeyken (V) "" SET "" tuşuna bastığımızda "" THD "" yazısı ile karşılaşılacaktır. THD yazısını gördükten sonra "" SET "" tuşuna 1 kere daha bastığınızda faz faz görebileceğiniz "" toplam harmonik "" ekranı gelir. Sonrasında 1 ile 19 arası görmek istediğiniz harmoniklere "" SET "" tuşuna basarak görebilirsiniz.
Akım harmoniğine bakılmak istendiğinde ise röle üzerinden akım değerleri (A) gözükürken,  "" SET "" tuşuna basılması ve yukarıda anlatılan adımların yapılması gerekmektedir.",rg3-15cl;rg3-15cls;rg3-serisi;rg3-12c;rg3-15c;rg3-12e;rg3;rg3-12cs;harmonik,https://destek.entes.com.tr/spaces/SP/pages/983439/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Harmonik+%C3%96l%C3%A7%C3%BCmleri+Nas%C4%B1l+G%C3%B6r%C3%BCnt%C3%BClenir
Koruma & Kontrol Ürün Grubu,DTR,DTR Serisi Astronomik Zaman Rölesinde Yapılan Programlar Nereden İzlenir?,DTR Serisi Astronomik Zaman Rölesinde Yapılan Programlar Nereden İzlenir?,"DTR Serisi Astronomik Zaman Rölesinde "" Ayar İzleme"" menüsü bulunmaktadır. Burası kullanıcının alt menü ayarlarını 3 sn'lik ekran gösterimleriyle kontrol edeceği menüdür.
Programların hangi kontağa yazıldığı, çekme bırakma zaman seçimleri, birleştirme fonksiyonu seçimleri, tatil kilidi ayarları, saat dilimi, yaz/kış saati uygulaması, coğrafi konum ve manuel kullanım modundan çıkış seçiminin hangi parametreye ayarlandığı gösterilir.
"" Yukarı "", "" Aşağı "" ve "" ESC "" tuşları ekran görüntüsü gösterim süresinin uzamasını sağlar. "" SET "" tuşuyla alt menü başlıkları arasında hızlı geçiş sağlanır.",program;mcb-50;dtr-10t;dtr-25;dtr-20m;mcb-50t;dtr-10;dtr-20;dtr-20s,https://destek.entes.com.tr/spaces/SP/pages/983491/DTR+Serisi+Astronomik+Zaman+R%C3%B6lesinde+Yap%C4%B1lan+Programlar+Nereden+%C4%B0zlenir
Koruma & Kontrol Ürün Grubu,DTR,DTR Serisi Astronomik Zaman Rölesinde Manuel Kontak Çekimi Nasıl Yapılır?,DTR Serisi Astronomik Zaman Rölesinde Manuel Kontak Çekimi Nasıl Yapılır?,"DTR Serisi Astronomik Zaman Rölesinde kontak çıkışlarını manuel olarak kullanmak için ekranın izleme menüsünde olması gerekir.
Aşağı tuşu C1 , yukarı tuşu C2 kontağını manuel konuma alıp çıkarmak için kullanılır.
Aşağı tuşuna 3 sn basılınca ekranda "" manuel "" yazısının çıktığı görülür. Eğer kontak çekili durumdayken bu işlem yapılırsa röle kontağını bırakır. Kontak bırakmış konumdayken bir konum değişikliği gerçekleşmez.
Aşağı tuşuna tekrar 3 sn basılınca röle kontağını çeker. Çektirme işleminden sonra aşağı tuşuna 3 sn basılınca kontak manuel konumdan çıkar.
Cihazın kontağı programın akışına göre çekili yada bırakmış konumda kalır.
Aynı durumlar yukarı tuşuyla C2 kontağı içinde geçerlidir. C1 ve C2 kontaklarının ikisi de manuel konumdayken ekrandaki "" AUTO "" yazısı kaybolur.",dtr-25;kontak;mcb-50t;dtr-20;dtr-10t;dtr-10;manuel;mcb-50;dtr-20m,https://destek.entes.com.tr/spaces/SP/pages/983573/DTR+Serisi+Astronomik+Zaman+R%C3%B6lesinde+Manuel+Kontak+%C3%87ekimi+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
